,,,"American Association of Individual Investors 625 N. Michigan Ave., Chicago, IL. 60611; (312) 280-0170; www.aaii.com",,,,,,,,,
7-25-02,27.9%,23.3%,48.8%,100%,32.13%,-20.9%,37.9%,48.0%,27.9%,854.13,775.68,843.43
8-1-02,34.2%,34.2%,31.6%,100%,32.31%,2.6%,37.9%,48.0%,27.9%,911.64,852.84,911.62
8-8-02,37.7%,23.0%,39.3%,100%,33.05%,-1.6%,37.9%,48.0%,27.9%,878.74,833.44,876.77
8-15-02,37.9%,20.7%,41.4%,100%,32.07%,-3.5%,37.9%,48.0%,27.9%,920.21,876.20,919.62
8-22-02,43.8%,16.7%,39.6%,100%,33.67%,4.2%,37.9%,48.0%,27.9%,951.59,927.21,949.36
8-29-02,50.0%,21.0%,29.0%,100%,36.60%,21.0%,37.9%,48.0%,27.9%,955.82,913.21,917.87
9-5-02,31.5%,18.5%,50.0%,100%,36.15%,-18.5%,37.9%,48.0%,27.9%,916.07,875.73,893.40
9-12-02,38.4%,24.7%,37.0%,100%,37.67%,1.4%,37.9%,48.0%,27.9%,924.02,882.92,909.45
9-19-02,33.8%,23.0%,43.2%,100%,38.40%,-9.5%,37.9%,48.0%,27.9%,902.68,839.09,845.39
9-26-02,24.5%,28.4%,47.1%,100%,37.19%,-22.6%,37.9%,48.0%,27.9%,845.39,817.38,839.66
10-3-02,35.2%,16.9%,47.9%,100%,36.88%,-12.7%,37.9%,48.0%,27.9%,851.93,800.20,827.91
10-10-02,28.9%,16.4%,54.8%,100%,35.74%,-26.0%,37.9%,48.0%,27.9%,808.86,775.80,776.76
10-17-02,39.5%,21.1%,39.5%,100%,35.21%,0.0%,37.9%,48.0%,27.9%,881.27,828.37,860.02
10-24-02,44.6%,21.7%,33.7%,100%,34.53%,10.9%,37.9%,48.0%,27.9%,900.69,873.06,896.14
10-31-02,51.5%,20.6%,27.9%,100%,37.03%,23.5%,37.9%,48.0%,27.9%,907.44,867.91,890.71
11-7-02,50.0%,23.7%,26.3%,100%,38.48%,23.7%,37.9%,48.0%,27.9%,925.66,900.96,923.76
11-14-02,48.7%,18.9%,32.4%,100%,40.34%,16.2%,37.9%,48.0%,27.9%,894.74,872.05,882.53
11-21-02,50.6%,28.1%,21.4%,100%,43.60%,29.2%,37.9%,48.0%,27.9%,915.91,893.09,914.15
11-28-02,51.1%,17.0%,31.9%,100%,45.58%,19.2%,37.9%,48.0%,27.9%,941.82,912.10,936.31
12-5-02,52.9%,29.4%,17.7%,100%,48.59%,35.3%,37.9%,48.0%,27.9%,954.28,927.72,934.53
12-12-02,41.4%,34.5%,24.1%,100%,48.83%,17.2%,37.9%,48.0%,27.9%,912.23,891.97,904.96
12-19-02,42.9%,27.1%,30.0%,100%,48.62%,12.9%,37.9%,48.0%,27.9%,911.22,887.82,891.12
12-26-02,40.0%,28.0%,32.0%,100%,47.18%,8.0%,37.9%,48.0%,27.9%,902.43,892.26,897.38
1-2-03,32.4%,29.7%,37.8%,100%,44.99%,-5.4%,37.9%,48.0%,27.9%,882.10,869.45,879.82
1-9-03,38.1%,19.1%,42.9%,100%,43.67%,-4.8%,37.9%,48.0%,27.9%,931.77,908.32,909.93
1-16-03,29.2%,41.7%,29.2%,100%,40.99%,0.0%,37.9%,48.0%,27.9%,935.05,916.70,918.22
1-23-03,25.0%,31.8%,43.2%,100%,37.74%,-18.2%,37.9%,48.0%,27.9%,906.00,877.64,878.36
1-30-03,25.5%,26.6%,47.9%,100%,34.31%,-22.3%,37.9%,48.0%,27.9%,868.72,844.25,864.36
2-6-03,22.9%,51.4%,25.7%,100%,31.99%,-2.9%,37.9%,48.0%,27.9%,864.64,840.19,843.59
2-13-03,21.9%,40.0%,38.1%,100%,29.37%,-16.2%,37.9%,48.0%,27.9%,843.02,818.49,818.68
2-20-03,21.1%,21.1%,57.9%,100%,27.01%,-36.8%,37.9%,48.0%,27.9%,852.87,834.89,845.13
2-27-03,26.0%,26.8%,47.2%,100%,26.20%,-21.1%,37.9%,48.0%,27.9%,848.17,818.54,827.55
3-6-03,33.3%,27.3%,39.4%,100%,25.61%,-6.1%,37.9%,48.0%,27.9%,852.34,819.00,829.85
3-13-03,34.3%,14.3%,51.4%,100%,26.25%,-17.1%,37.9%,48.0%,27.9%,828.89,788.90,804.19
3-20-03,42.9%,19.1%,38.1%,100%,28.48%,4.8%,37.9%,48.0%,27.9%,874.99,827.17,874.02
3-27-03,39.4%,27.9%,32.7%,100%,30.22%,6.7%,37.9%,48.0%,27.9%,895.79,862.02,869.95
4-3-03,32.4%,29.4%,38.2%,100%,31.40%,-5.9%,37.9%,48.0%,27.9%,884.57,843.68,880.90
4-10-03,38.5%,30.8%,30.8%,100%,33.47%,7.7%,37.9%,48.0%,27.9%,904.89,865.72,865.99
4-17-03,46.3%,22.2%,31.5%,100%,36.63%,14.8%,37.9%,48.0%,27.9%,896.77,877.93,879.91
4-24-03,63.0%,18.0%,19.0%,100%,41.25%,44.0%,37.9%,48.0%,27.9%,919.74,886.70,919.02
5-1-03,48.6%,25.7%,25.7%,100%,43.16%,22.9%,37.9%,48.0%,27.9%,924.24,898.81,916.92
5-8-03,52.8%,28.8%,18.4%,100%,45.47%,34.4%,37.9%,48.0%,27.9%,939.61,924.55,934.39
5-15-03,62.8%,20.9%,16.3%,100%,47.96%,46.5%,37.9%,48.0%,27.9%,947.51,929.30,942.30
5-22-03,38.5%,26.0%,35.6%,100%,47.84%,2.9%,37.9%,48.0%,27.9%,944.30,912.05,923.42
5-29-03,62.9%,22.9%,14.3%,100%,51.66%,48.6%,37.9%,48.0%,27.9%,965.38,927.33,963.59
6-5-03,52.0%,28.8%,19.2%,100%,53.35%,32.8%,37.9%,48.0%,27.9%,987.85,963.59,986.24
6-12-03,50.0%,20.8%,29.2%,100%,53.81%,20.8%,37.9%,48.0%,27.9%,997.48,972.59,997.48
6-19-03,56.4%,7.7%,35.9%,100%,52.99%,20.5%,37.9%,48.0%,27.9%,"1,015.33",988.61,"1,010.09"
6-26-03,71.4%,20.0%,8.6%,100%,55.84%,62.9%,37.9%,48.0%,27.9%,995.69,973.80,976.22
7-3-03,41.2%,23.5%,35.3%,100%,54.39%,5.9%,37.9%,48.0%,27.9%,995.00,962.10,985.70
7-10-03,43.2%,25.7%,31.1%,100%,51.95%,12.2%,37.9%,48.0%,27.9%,"1,010.43",983.63,998.14
7-17-03,51.3%,20.2%,28.6%,100%,53.55%,22.7%,37.9%,48.0%,27.9%,"1,015.41",978.60,993.32
7-24-03,52.0%,17.3%,30.7%,100%,52.19%,21.3%,37.9%,48.0%,27.9%,998.89,975.63,998.68
7-31-03,51.5%,32.3%,16.2%,100%,52.13%,35.4%,37.9%,48.0%,27.9%,"1,004.59",978.86,980.15
8-7-03,45.5%,22.1%,32.5%,100%,51.56%,13.0%,37.9%,48.0%,27.9%,985.75,960.84,977.59
8-14-03,50.6%,25.8%,23.6%,100%,50.83%,27.0%,37.9%,48.0%,27.9%,992.50,974.21,990.67
8-21-03,63.0%,18.5%,18.5%,100%,49.77%,44.4%,37.9%,48.0%,27.9%,"1,011.01",990.67,993.06
8-28-03,56.7%,20.6%,22.7%,100%,51.71%,34.0%,37.9%,48.0%,27.9%,"1,008.85",983.57,"1,008.01"
9-4-03,62.3%,21.3%,16.4%,100%,54.10%,45.9%,37.9%,48.0%,27.9%,"1,029.34","1,005.73","1,021.39"
9-11-03,58.1%,24.4%,17.4%,100%,54.96%,40.7%,37.9%,48.0%,27.9%,"1,032.41","1,007.71","1,018.63"
9-18-03,62.8%,17.7%,19.6%,100%,56.30%,43.1%,37.9%,48.0%,27.9%,"1,040.29","1,013.59","1,036.30"
9-25-03,57.3%,20.4%,22.3%,100%,57.02%,35.0%,37.9%,48.0%,27.9%,"1,036.30",996.08,996.85
10-2-03,50.0%,21.4%,28.6%,100%,57.59%,21.4%,37.9%,48.0%,27.9%,"1,039.31",990.36,"1,029.85"
10-9-03,57.6%,19.2%,23.2%,100%,58.46%,34.4%,37.9%,48.0%,27.9%,"1,048.28","1,026.27","1,038.06"
10-16-03,60.3%,25.9%,13.8%,100%,58.14%,46.6%,37.9%,48.0%,27.9%,"1,053.79","1,038.06","1,046.76"
10-23-03,52.8%,30.6%,16.7%,100%,57.65%,36.1%,37.9%,48.0%,27.9%,"1,048.57","1,028.39","1,030.36"
10-30-03,57.8%,23.4%,18.8%,100%,57.09%,39.1%,37.9%,48.0%,27.9%,"1,049.83","1,028.91","1,048.11"
11-6-03,57.6%,25.8%,16.7%,100%,57.02%,40.9%,37.9%,48.0%,27.9%,"1,061.44","1,044.88","1,051.81"
11-13-03,53.3%,32.2%,14.4%,100%,55.84%,38.9%,37.9%,48.0%,27.9%,"1,059.10","1,043.46","1,058.53"
11-20-03,53.2%,25.8%,21.0%,100%,55.33%,32.3%,37.9%,48.0%,27.9%,"1,050.35","1,034.00","1,042.44"
11-27-03,60.4%,18.9%,20.8%,100%,56.63%,39.6%,37.9%,48.0%,27.9%,"1,060.63","1,035.28","1,058.20"
12-4-03,69.4%,16.2%,14.4%,100%,58.10%,55.0%,37.9%,48.0%,27.9%,"1,074.30","1,058.20","1,064.73"
12-11-03,55.3%,23.7%,21.1%,100%,57.47%,34.2%,37.9%,48.0%,27.9%,"1,074.76","1,053.41","1,074.14"
12-18-03,60.2%,20.4%,19.4%,100%,58.40%,40.8%,37.9%,48.0%,27.9%,"1,082.79","1,068.00","1,076.48"
12-26-03,65.5%,17.2%,17.2%,100%,59.36%,48.3%,37.9%,48.0%,27.9%,"1,098.47","1,086.14","1,095.89"
1-1-04,62.4%,24.1%,13.5%,100%,59.96%,48.9%,37.9%,48.0%,27.9%,"1,118.85","1,105.08","1,108.48"
1-8-04,67.2%,14.9%,17.9%,100%,61.69%,49.3%,37.9%,48.0%,27.9%,"1,126.33","1,108.48","1,126.33"
1-15-04,66.3%,23.6%,10.1%,100%,63.32%,56.2%,37.9%,48.0%,27.9%,"1,130.75","1,115.19","1,130.52"
1-22-04,69.5%,17.1%,13.4%,100%,64.47%,56.1%,37.9%,48.0%,27.9%,"1,149.21","1,134.62","1,147.62"
1-29-04,56.9%,28.1%,15.0%,100%,62.90%,41.9%,37.9%,48.0%,27.9%,"1,155.38","1,126.50","1,128.48"
2-5-04,50.9%,27.3%,21.8%,100%,62.36%,29.1%,37.9%,48.0%,27.9%,"1,142.45","1,124.74","1,126.52"
2-12-04,56.1%,29.3%,14.6%,100%,61.85%,41.5%,37.9%,48.0%,27.9%,"1,158.89","1,138.70","1,157.76"
2-19-04,56.5%,22.6%,21.0%,100%,60.71%,35.5%,37.9%,48.0%,27.9%,"1,158.98","1,145.81","1,151.82"
2-26-04,41.6%,27.9%,30.5%,100%,58.11%,11.1%,37.9%,48.0%,27.9%,"1,146.69","1,134.43","1,143.67"
3-4-04,47.8%,39.1%,13.0%,100%,55.69%,34.8%,37.9%,48.0%,27.9%,"1,157.45","1,143.78","1,151.03"
3-11-04,41.3%,25.2%,33.6%,100%,52.57%,7.7%,37.9%,48.0%,27.9%,"1,159.94","1,122.53","1,123.89"
3-18-04,38.6%,35.1%,26.3%,100%,48.71%,12.3%,37.9%,48.0%,27.9%,"1,125.76","1,102.61","1,123.75"
3-25-04,31.5%,25.9%,42.6%,100%,45.53%,-11.1%,37.9%,48.0%,27.9%,"1,109.78","1,087.16","1,091.33"
4-1-04,55.2%,22.4%,22.4%,100%,46.06%,32.8%,37.9%,48.0%,27.9%,"1,130.83","1,108.06","1,126.21"
4-8-04,58.8%,21.0%,20.3%,100%,46.40%,38.5%,37.9%,48.0%,27.9%,"1,150.57","1,138.41","1,140.53"
4-15-04,63.8%,22.5%,13.8%,100%,47.31%,50.0%,37.9%,48.0%,27.9%,"1,147.78","1,122.15","1,128.17"
4-22-04,50.0%,27.5%,22.5%,100%,48.36%,27.5%,37.9%,48.0%,27.9%,"1,139.26","1,116.03","1,124.09"
4-29-04,50.0%,28.8%,21.2%,100%,48.63%,28.8%,37.9%,48.0%,27.9%,"1,146.56","1,121.70","1,122.41"
5-6-04,39.0%,33.9%,27.1%,100%,48.35%,11.9%,37.9%,48.0%,27.9%,"1,127.74","1,107.30","1,121.53"
5-13-04,32.9%,23.7%,43.4%,100%,47.63%,-10.5%,37.9%,48.0%,27.9%,"1,098.70","1,076.32","1,097.28"
5-20-04,36.7%,23.3%,40.0%,100%,48.28%,-3.3%,37.9%,48.0%,27.9%,"1,105.93","1,079.36","1,088.68"
5-27-04,36.1%,23.6%,40.3%,100%,45.90%,-4.2%,37.9%,48.0%,27.9%,"1,116.71","1,090.74","1,114.94"
6-3-04,33.3%,40.5%,26.2%,100%,42.72%,7.1%,37.9%,48.0%,27.9%,"1,128.10","1,113.32","1,124.99"
6-10-04,55.3%,29.0%,15.8%,100%,41.66%,39.5%,37.9%,48.0%,27.9%,"1,142.18","1,114.76","1,131.33"
6-17-04,41.4%,30.5%,28.1%,100%,40.58%,13.3%,37.9%,48.0%,27.9%,"1,137.36","1,122.16","1,133.56"
6-24-04,56.4%,20.5%,23.1%,100%,41.38%,33.3%,37.9%,48.0%,27.9%,"1,145.15","1,124.37","1,144.06"
7-1-04,57.0%,27.3%,15.8%,100%,43.63%,41.2%,37.9%,48.0%,27.9%,"1,144.20","1,131.72","1,140.84"
7-8-04,55.1%,23.5%,21.4%,100%,46.41%,33.7%,37.9%,48.0%,27.9%,"1,125.38","1,113.21","1,118.33"
7-15-04,47.4%,29.0%,23.7%,100%,47.75%,23.7%,37.9%,48.0%,27.9%,"1,119.60","1,106.71","1,111.47"
7-22-04,35.7%,40.5%,23.8%,100%,47.70%,11.9%,37.9%,48.0%,27.9%,"1,116.27","1,093.88","1,093.88"
7-29-04,34.0%,30.0%,36.0%,100%,47.78%,-2.0%,37.9%,48.0%,27.9%,"1,098.84","1,078.78","1,095.42"
8-5-04,31.0%,35.2%,33.8%,100%,44.75%,-2.8%,37.9%,48.0%,27.9%,"1,108.60","1,092.40","1,098.63"
8-12-04,38.6%,21.4%,40.0%,100%,44.39%,-1.4%,37.9%,48.0%,27.9%,"1,079.04","1,063.97","1,075.79"
8-19-04,34.9%,30.2%,34.9%,100%,41.70%,0.0%,37.9%,48.0%,27.9%,"1,095.17","1,064.80","1,095.17"
8-26-04,41.5%,33.1%,25.4%,100%,39.77%,16.1%,37.9%,48.0%,27.9%,"1,106.29","1,092.82","1,104.96"
9-2-04,41.5%,30.2%,28.3%,100%,38.07%,13.2%,37.9%,48.0%,27.9%,"1,109.24","1,094.72","1,105.91"
9-9-04,50.5%,25.7%,23.8%,100%,38.46%,26.7%,37.9%,48.0%,27.9%,"1,124.08","1,113.63","1,121.30"
9-16-04,45.5%,22.7%,31.8%,100%,39.68%,13.6%,37.9%,48.0%,27.9%,"1,129.78","1,123.35","1,125.82"
9-23-04,51.2%,22.0%,26.8%,100%,41.83%,24.4%,37.9%,48.0%,27.9%,"1,128.55","1,120.34","1,122.20"
9-30-04,41.1%,19.6%,39.3%,100%,43.09%,1.8%,37.9%,48.0%,27.9%,"1,114.80","1,101.29","1,114.80"
10-7-04,56.9%,23.4%,19.7%,100%,45.38%,37.2%,37.9%,48.0%,27.9%,"1,142.05","1,131.50","1,142.05"
10-14-04,44.7%,27.1%,28.2%,100%,46.61%,16.5%,37.9%,48.0%,27.9%,"1,127.01","1,109.63","1,113.65"
10-21-04,42.5%,28.8%,28.8%,100%,46.73%,13.7%,37.9%,48.0%,27.9%,"1,117.96","1,094.25","1,103.66"
10-28-04,42.3%,26.0%,31.7%,100%,46.83%,10.6%,37.9%,48.0%,27.9%,"1,126.29","1,090.29","1,125.40"
11-4-04,57.1%,20.0%,22.9%,100%,47.66%,34.3%,37.9%,48.0%,27.9%,"1,147.57","1,127.60","1,143.20"
11-11-04,62.5%,15.9%,21.6%,100%,49.79%,40.9%,37.9%,48.0%,27.9%,"1,169.25","1,162.32","1,162.91"
11-18-04,64.1%,13.5%,22.4%,100%,51.41%,41.7%,37.9%,48.0%,27.9%,"1,188.46","1,175.32","1,181.94"
11-24-04,49.5%,23.7%,26.8%,100%,52.46%,22.7%,37.9%,48.0%,27.9%,"1,182.46","1,176.94","1,181.76"
12-2-04,56.8%,17.8%,25.4%,100%,52.44%,31.4%,37.9%,48.0%,27.9%,"1,191.37","1,172.37","1,191.37"
12-9-04,51.4%,23.4%,25.2%,100%,53.27%,26.1%,37.9%,48.0%,27.9%,"1,192.41","1,177.07","1,182.81"
12-16-04,52.5%,28.3%,19.2%,100%,54.52%,33.3%,37.9%,48.0%,27.9%,"1,206.61","1,188.00","1,205.72"
12-23-04,60.2%,21.6%,18.2%,100%,56.76%,42.1%,37.9%,48.0%,27.9%,"1,211.42","1,193.36","1,209.57"
12-30-04,57.7%,24.8%,17.5%,100%,56.83%,40.1%,37.9%,48.0%,27.9%,"1,214.13","1,204.92","1,213.45"
1-6-05,38.1%,27.4%,34.5%,100%,53.78%,3.6%,37.9%,48.0%,27.9%,"1,217.80","1,183.72","1,183.74"
1-13-05,34.0%,26.1%,39.9%,100%,50.01%,-5.9%,37.9%,48.0%,27.9%,"1,194.78","1,175.64","1,184.52"
1-20-05,33.7%,32.7%,33.7%,100%,48.04%,0.0%,37.9%,48.0%,27.9%,"1,195.98","1,180.10","1,184.52"
1-27-05,26.4%,37.1%,36.4%,100%,44.24%,-10.0%,37.9%,48.0%,27.9%,"1,175.96","1,163.75","1,174.07"
2-3-05,41.7%,33.3%,25.0%,100%,43.03%,16.7%,37.9%,48.0%,27.9%,"1,195.25","1,171.36","1,193.19"
2-10-05,43.8%,33.3%,22.9%,100%,41.94%,20.8%,37.9%,48.0%,27.9%,"1,205.11","1,191.54","1,191.99"
2-17-05,36.4%,33.8%,29.9%,100%,38.95%,6.5%,37.9%,48.0%,27.9%,"1,212.44","1,203.59","1,210.34"
2-24-05,31.8%,36.4%,31.8%,100%,35.72%,0.0%,37.9%,48.0%,27.9%,"1,202.48","1,184.16","1,190.80"
3-3-05,39.5%,33.3%,27.2%,100%,35.90%,12.4%,37.9%,48.0%,27.9%,"1,215.79","1,198.13","1,210.08"
3-10-05,49.7%,25.5%,24.8%,100%,37.86%,24.8%,37.9%,48.0%,27.9%,"1,229.06","1,206.71","1,207.01"
3-17-05,32.5%,35.1%,32.5%,100%,37.71%,0.0%,37.9%,48.0%,27.9%,"1,210.54","1,185.61","1,188.07"
3-24-05,23.2%,34.8%,41.9%,100%,37.31%,-18.7%,37.9%,48.0%,27.9%,"1,189.65","1,168.70","1,172.53"
3-31-05,28.4%,20.6%,51.0%,100%,35.65%,-22.6%,37.9%,48.0%,27.9%,"1,181.54","1,163.69","1,181.41"
4-7-05,27.7%,28.4%,43.9%,100%,33.65%,-16.1%,37.9%,48.0%,27.9%,"1,189.34","1,167.72","1,184.07"
4-14-05,16.5%,41.8%,41.8%,100%,31.17%,-25.3%,37.9%,48.0%,27.9%,"1,190.17","1,170.85","1,173.79"
4-21-05,36.8%,30.3%,32.9%,100%,31.80%,4.0%,37.9%,48.0%,27.9%,"1,155.50","1,136.15","1,137.51"
4-28-05,29.8%,35.5%,34.7%,100%,30.58%,-5.0%,37.9%,48.0%,27.9%,"1,164.80","1,144.42","1,156.38"
5-5-05,28.6%,26.5%,44.9%,100%,27.94%,-16.3%,37.9%,48.0%,27.9%,"1,178.62","1,154.71","1,171.35"
5-12-05,30.5%,33.1%,36.4%,100%,27.70%,-5.8%,37.9%,48.0%,27.9%,"1,178.87","1,157.71","1,171.11"
5-19-05,38.92%,32.43%,28.65%,100%,29.66%,10.3%,37.9%,48.0%,27.9%,"1,187.90","1,153.64","1,185.56"
5-26-05,44.14%,32.43%,23.42%,100%,31.62%,20.7%,37.9%,48.0%,27.9%,"1,197.44","1,185.96","1,190.01"
6-2-05,48.61%,31.94%,19.44%,100%,34.23%,29.2%,37.9%,48.0%,27.9%,"1,205.64","1,191.03","1,202.22"
6-9-05,45.98%,34.48%,19.54%,100%,37.92%,26.4%,37.9%,48.0%,27.9%,"1,208.85","1,192.75","1,197.26"
6-16-05,48.05%,33.12%,18.83%,100%,39.32%,29.2%,37.9%,48.0%,27.9%,"1,208.08","1,194.51","1,206.58"
6-23-05,46.59%,35.23%,18.18%,100%,41.42%,28.4%,37.9%,48.0%,27.9%,"1,219.59","1,210.65","1,213.88"
6-30-05,45.89%,24.66%,29.45%,100%,43.59%,16.4%,37.9%,48.0%,27.9%,"1,204.07","1,188.30","1,199.85"
7-7-05,43.01%,36.56%,20.43%,100%,45.15%,22.6%,37.9%,48.0%,27.9%,"1,206.34","1,192.49","1,194.94"
7-14-05,57.89%,28.07%,14.04%,100%,47.52%,43.9%,37.9%,48.0%,27.9%,"1,233.16","1,211.86","1,227.92"
7-21-05,41.18%,31.37%,27.45%,100%,47.15%,13.7%,37.9%,48.0%,27.9%,"1,236.56","1,221.13","1,235.20"
7-28-05,57.52%,24.84%,17.65%,100%,48.26%,39.9%,37.9%,48.0%,27.9%,"1,238.36","1,228.15","1,236.79"
8-4-05,47.83%,26.09%,26.09%,100%,48.50%,21.7%,37.9%,48.0%,27.9%,"1,245.86","1,233.80","1,245.04"
8-11-05,39.74%,31.41%,28.85%,100%,47.46%,10.9%,37.9%,48.0%,27.9%,"1,242.69","1,222.67","1,229.13"
8-18-05,29.29%,30.30%,40.40%,100%,45.29%,-11.1%,37.9%,48.0%,27.9%,"1,236.24","1,218.07","1,220.24"
8-25-05,36.14%,32.53%,31.33%,100%,44.08%,4.8%,37.9%,48.0%,27.9%,"1,228.96","1,214.44","1,217.59"
9-1-05,31.76%,30.59%,37.65%,100%,42.67%,-5.9%,37.9%,48.0%,27.9%,"1,220.36","1,201.07","1,220.33"
9-8-05,42.31%,25.00%,32.69%,100%,40.72%,9.6%,37.9%,48.0%,27.9%,"1,237.06","1,218.02","1,236.36"
9-15-05,51.43%,20.00%,28.57%,100%,42.00%,22.9%,37.9%,48.0%,27.9%,"1,242.60","1,226.16","1,227.16"
9-22-05,39.47%,28.07%,32.46%,100%,39.75%,7.0%,37.9%,48.0%,27.9%,"1,237.91","1,209.89","1,210.20"
9-29-05,31.88%,28.99%,39.13%,100%,37.75%,-7.3%,37.9%,48.0%,27.9%,"1,222.56","1,211.11","1,216.89"
10-6-05,50.00%,22.58%,27.42%,100%,39.04%,22.6%,37.9%,48.0%,27.9%,"1,233.34","1,196.25","1,196.39"
10-13-05,38.96%,12.99%,48.05%,100%,40.24%,-9.1%,37.9%,48.0%,27.9%,"1,196.52","1,173.65","1,177.68"
10-20-05,43.11%,20.96%,35.93%,100%,41.12%,7.2%,37.9%,48.0%,27.9%,"1,195.76","1,170.55","1,195.76"
10-27-05,32.05%,21.79%,46.15%,100%,41.15%,-14.1%,37.9%,48.0%,27.9%,"1,204.01","1,179.59","1,191.38"
11-3-05,42.95%,29.49%,27.56%,100%,41.23%,15.4%,37.9%,48.0%,27.9%,"1,215.17","1,198.41","1,214.76"
11-10-05,58.62%,18.39%,22.99%,100%,42.13%,35.6%,37.9%,48.0%,27.9%,"1,226.59","1,216.08","1,220.65"
11-17-05,53.63%,24.58%,21.79%,100%,43.90%,31.8%,37.9%,48.0%,27.9%,"1,235.70","1,215.05","1,234.72"
11-24-05,57.33%,26.67%,16.00%,100%,47.08%,41.3%,37.9%,48.0%,27.9%,"1,270.64","1,259.51","1,265.61"
12-1-05,52.47%,24.07%,23.46%,100%,47.39%,29.0%,37.9%,48.0%,27.9%,"1,268.44","1,249.39","1,249.48"
12-8-05,49.47%,31.58%,18.95%,100%,48.70%,30.5%,37.9%,48.0%,27.9%,"1,272.89","1,253.02","1,257.37"
12-15-05,46.15%,31.73%,22.12%,100%,49.08%,24.0%,37.9%,48.0%,27.9%,"1,272.11","1,255.52","1,267.43"
12-22-05,41.03%,30.77%,28.21%,100%,50.21%,12.8%,37.9%,48.0%,27.9%,"1,270.51","1,257.21","1,268.66"
12-29-05,37.30%,26.19%,36.51%,100%,49.50%,0.8%,37.9%,48.0%,27.9%,"1,271.83","1,256.54","1,258.17"
1-5-06,29.35%,30.43%,40.22%,100%,45.84%,-10.9%,37.9%,48.0%,27.9%,"1,275.37","1,245.74","1,273.46"
1-12-06,58.96%,21.97%,19.08%,100%,46.51%,39.9%,37.9%,48.0%,27.9%,"1,294.90","1,283.76","1,294.18"
1-19-06,50.00%,24.17%,25.83%,100%,45.59%,24.2%,37.9%,48.0%,27.9%,"1,287.61","1,272.08","1,277.93"
1-26-06,30.77%,35.90%,33.33%,100%,42.88%,-2.6%,37.9%,48.0%,27.9%,"1,286.38","1,259.42","1,283.72"
2-2-06,44.70%,21.97%,33.33%,100%,42.28%,11.4%,37.9%,48.0%,27.9%,"1,287.94","1,276.85","1,282.46"
2-9-06,40.19%,25.23%,34.58%,100%,41.54%,5.6%,37.9%,48.0%,27.9%,"1,267.04","1,253.61","1,265.65"
2-16-06,40.18%,24.11%,35.71%,100%,41.43%,4.5%,37.9%,48.0%,27.9%,"1,281.00","1,258.34","1,280.00"
2-23-06,43.21%,28.40%,28.40%,100%,42.17%,14.8%,37.9%,48.0%,27.9%,"1,294.17","1,281.33","1,292.67"
3-2-06,40.94%,29.92%,29.13%,100%,43.62%,11.8%,37.9%,48.0%,27.9%,"1,297.57","1,278.66","1,291.24"
3-9-06,41.21%,28.02%,30.77%,100%,41.40%,10.4%,37.9%,48.0%,27.9%,"1,288.23","1,268.42","1,278.47"
3-16-06,46.55%,20.69%,32.76%,100%,40.97%,13.8%,37.9%,48.0%,27.9%,"1,304.40","1,281.58","1,303.02"
3-23-06,43.75%,28.75%,27.50%,100%,42.59%,16.3%,37.9%,48.0%,27.9%,"1,310.88","1,295.81","1,305.04"
3-30-06,37.21%,30.23%,32.56%,100%,41.66%,4.7%,37.9%,48.0%,27.9%,"1,306.24","1,291.84","1,302.89"
4-6-06,47.67%,29.07%,23.26%,100%,42.59%,24.4%,37.9%,48.0%,27.9%,"1,312.81","1,294.71","1,311.56"
4-13-06,45.36%,26.80%,27.84%,100%,43.24%,17.5%,37.9%,48.0%,27.9%,"1,300.74","1,282.96","1,288.12"
4-20-06,33.73%,25.44%,40.83%,100%,42.05%,-7.1%,37.9%,48.0%,27.9%,"1,310.39","1,280.74","1,309.93"
4-27-06,42.11%,21.93%,35.96%,100%,42.20%,6.2%,37.9%,48.0%,27.9%,"1,316.04","1,295.57","1,310.61"
5-4-06,45.89%,20.55%,33.56%,100%,42.78%,12.3%,37.9%,48.0%,27.9%,"1,317.21","1,303.46","1,308.12"
5-11-06,54.90%,17.65%,27.45%,100%,43.83%,27.5%,37.9%,48.0%,27.9%,"1,326.70","1,317.44","1,322.85"
5-18-06,39.39%,16.97%,43.64%,100%,43.28%,-4.3%,37.9%,48.0%,27.9%,"1,291.73","1,267.31","1,270.32"
5-25-06,33.04%,21.43%,45.54%,100%,42.76%,-12.5%,37.9%,48.0%,27.9%,"1,264.53","1,245.34","1,258.57"
6-1-06,30.77%,19.23%,50.00%,100%,40.65%,-19.2%,37.9%,48.0%,27.9%,"1,285.71","1,269.19","1,285.71"
6-8-06,26.23%,28.69%,45.08%,100%,38.26%,-18.9%,37.9%,48.0%,27.9%,"1,257.07","1,249.43","1,249.72"
6-15-06,26.41%,18.61%,54.98%,100%,37.34%,-28.6%,37.9%,48.0%,27.9%,"1,243.59","1,230.01","1,243.04"
6-22-06,34.40%,24.00%,41.60%,100%,36.38%,-7.2%,37.9%,48.0%,27.9%,"1,251.92","1,241.53","1,244.70"
6-29-06,38.60%,21.64%,39.77%,100%,35.47%,-1.2%,37.9%,48.0%,27.9%,"1,257.29","1,245.94","1,255.88"
7-6-06,37.70%,19.67%,42.62%,100%,33.32%,-4.9%,37.9%,48.0%,27.9%,"1,278.32","1,270.58","1,274.08"
